id,category,subcategory,topic,subtopic,collection_method,collection_frequency,collection_source,specificity,data_format,auto_or_manual,trigger,datetime_last_collection,explanation,comments,active
44,Cognitive Abilities,Language & Communication,Insight,,,,,,,,,,,,
45,Cognitive Abilities,Learning & Understanding,Spatial Awareness,,,,,,,,,,,,
46,Cognitive Abilities,Learning & Understanding,Language Skills,,,,,,,,,,,,
47,Cognitive Abilities,Learning & Understanding,Abstract Thinking,,,,,,,,,,,,
48,Cognitive Abilities,Learning & Understanding,Intuition,,,,,,,,,,,,
49,Cognitive Abilities,Learning & Understanding,Recognition,,,,,,,,,,,,
50,Cognitive Abilities,Learning & Understanding,Mathematical Ability,,,,,,,,,,,,
51,Cognitive Abilities,Learning & Understanding,Perceptual-Motor Integration,,,,,,,,,,,,
52,Cognitive Abilities,Learning & Understanding,Sequencing,,,,,,,,,,,,
53,Cognitive Abilities,Creativity & Innovation,Creativity,,,,,,,,,,,,
54,Cognitive Abilities,Creativity & Innovation,Flexibility,,,,,,,,,,,,
55,Cognitive Abilities,Creativity & Innovation,Insight,,,,,,,,,,,,
56,Emotional & Psychological Well-being,Emotional & Self-Regulation,Emotional Regulation,,,,,,,,,,,,
57,Emotional & Psychological Well-being,Emotional & Self-Regulation,Inhibition Control,,,,,,,,,,,,
58,Emotional & Psychological Well-being,Emotional & Self-Regulation,Metacognition,,,,,,,,,,,,
59,Emotional & Psychological Well-being,Mental and Emotional Health,Stress,,,,,,,,,,,,
60,Emotional & Psychological Well-being,Mental and Emotional Health,Anxiety,,,,,,,,,,,,
61,Emotional & Psychological Well-being,Mental and Emotional Health,Depression,,,,,,,,,,,,
62,Emotional & Psychological Well-being,Mental and Emotional Health,Emotional Stability,,,,,,,,,,,,
63,Emotional & Psychological Well-being,Mental and Emotional Health,Loneliness,,,,,,,,,,,,
64,Emotional & Psychological Well-being,Mental and Emotional Health,Happiness,,,,,,,,,,,,
65,Emotional & Psychological Well-being,Mental and Emotional Health,Optimism,,,,,,,,,,,,
66,Emotional & Psychological Well-being,Mental and Emotional Health,Calmness,,,,,,,,,,,,
67,Emotional & Psychological Well-being,Mental and Emotional Health,Irritability,,Question,,"iPhone, iPad, Apple Watch, Mac",Were there any moments of irritability or anger today?,,,,,,,No
68,Emotional & Psychological Well-being,Mental and Emotional Health,Joy,,,,,,,,,,,,
69,Emotional & Psychological Well-being,Mental and Emotional Health,Satisfaction,,,,,,,,,,,,
70,Emotional & Psychological Well-being,Mental and Emotional Health,Resilience,,Question,,"iPhone, iPad, Mac, Apple Watch",How did you handle setbacks or challenges today? What did you learn from them?,,,,,,,No
71,Emotional & Psychological Well-being,Physical Aspects,Sleep,Quality,,,,,,,,,,,
72,Emotional & Psychological Well-being,Physical Aspects,Sleep,Duration,Apple Health,,Apple Watch,,,Yes,Puttin phone focus on sleep,,,,Yes
73,Emotional & Psychological Well-being,Physical Aspects,Sleep,Dreams,,,,,,,,,,,
74,Emotional & Psychological Well-being,Physical Aspects,Pain/Discomfort,Headache,,,,,,,,,,,
75,Emotional & Psychological Well-being,Physical Aspects,Pain/Discomfort,Stomachache,,,,,,,,,,,
76,Emotional & Psychological Well-being,Physical Aspects,Pain/Discomfort,Backache,,,,,,,,,,,
77,Emotional & Psychological Well-being,Physical Aspects,Pain/Discomfort,Muscle Pain,,,,,,,,,,,
78,Emotional & Psychological Well-being,Physical Aspects,Pain/Discomfort,Joint Pain,,,,,,,,,,,
79,Emotional & Psychological Well-being,Physical Aspects,Pain/Discomfort,Chest Pain,,,,,,,,,,,
80,Emotional & Psychological Well-being,Physical Aspects,Pain/Discomfort,Other Pain/Discomfort,,,,,,,,,,,
81,Emotional & Psychological Well-being,Physical Aspects,Physical Activity,Exercise,Apple Health,,Apple Watch,,,Yes,,,,,Yes
82,Emotional & Psychological Well-being,Physical Aspects,Physical Activity,Steps,Apple Health,,Apple Watch,,,Yes,,,,,Yes
83,Emotional & Psychological Well-being,Physical Aspects,Physical Activity,Distance,,,,,,,,,,,
84,Emotional & Psychological Well-being,Physical Aspects,Nutrition,Calories,MyFitnessPal,Whenever I input food I ate,iPhone,,,No,Manual,,,,Yes
85,Emotional & Psychological Well-being,Physical Aspects,Nutrition,Carbohydrates,MyFitnessPal,Whenever I input food I ate,iPhone,,,No,Manual,,,,Yes
86,Emotional & Psychological Well-being,Physical Aspects,Nutrition,Fat,MyFitnessPal,Whenever I input food I ate,iPhone,,,No,Manual,,,,Yes
87,Emotional & Psychological Well-being,Physical Aspects,Nutrition,Protein,MyFitnessPal,Whenever I input food I ate,iPhone,,,No,Manual,,,,Yes
88,Emotional & Psychological Well-being,Physical Aspects,Weight,,Fitdays,Whenever I weigh myself,iPhone,,,No,Manual,,,,Yes
89,Emotional & Psychological Well-being,Physical Aspects,Blood Pressure,,,,,,,,,,,,
90,Emotional & Psychological Well-being,Physical Aspects,Heart Rate,,Apple Health,,Apple Watch,,,Yes,,,,,Yes
91,Emotional & Psychological Well-being,Physical Aspects,Blood Glucose,,,,,,,,,,,,
92,Emotional & Psychological Well-being,Physical Aspects,Blood Oxygen Saturation,,,,,,,,,,,,
93,Emotional & Psychological Well-being,Physical Aspects,Temperature,,,,,,,,,,,,
94,Emotional & Psychological Well-being,Physical Aspects,Respiratory Rate,,,,,,,,,,,,
95,Emotional & Psychological Well-being,Physical Aspects,Alcohol Intake,,Apple Shortcuts,When I drink alcohol,"iPhone, Apple Watch",Type of alcohol,String,No,Manual,,,Output to JSON file in iCloud Drive,Yes
96,Emotional & Psychological Well-being,Physical Aspects,Drug Intake,,Apple Shortcuts,When I take a drug,"iPhone, Apple Watch",Type of drug,String,No,Manual,,,Output to JSON file in iCloud Drive,Yes
97,Social Interactions & Relationships,Social Activities,Quality of Interaction,,,,,,,,,,,,
98,Social Interactions & Relationships,Social Activities,Support,,,,,,,,,,,,
99,Social Interactions & Relationships,Social Activities,Conflict,,,,,,,,,,,,
100,Social Interactions & Relationships,Personal Relationships,Romantic Relationship,,,,,,,,,,,,
101,Social Interactions & Relationships,Personal Relationships,Family Relations,,,,,,,,,,,,
102,Social Interactions & Relationships,Personal Relationships,Friendship,,,,,,,,,,,,
103,Personal Development & Life Satisfaction,Personal Development,New Knowledge,,,,,,,,,,,,
104,Personal Development & Life Satisfaction,Personal Development,Skill Development,,,,,,,,,,,,
105,Personal Development & Life Satisfaction,Personal Development,Reading,,,,,,,,,,,,
106,Personal Development & Life Satisfaction,Personal Development,Goal Progress,,,,,,,,,,,,
107,Personal Development & Life Satisfaction,Personal Development,Creativity,,,,,,,,,,,,
108,Personal Development & Life Satisfaction,Personal Development,Meditation,,,,,,,,,,,,
109,Personal Development & Life Satisfaction,Personal Development,Self-Care Activities,,,,,,,,,,,,
110,Personal Development & Life Satisfaction,Personal Development,Present Moment Awareness,,,,,,,,,,,,
111,Personal Development & Life Satisfaction,Personal Development,Relaxation,,,,,,,,,,,,
112,Personal Development & Life Satisfaction,Personal Development,Task Completion,,,,,,,,,,,,
113,Personal Development & Life Satisfaction,Personal Development,Procrastination,,,,,,,,,,,,
114,Personal Development & Life Satisfaction,Personal Development,Efficiency,,,,,,,,,,,,
115,Personal Development & Life Satisfaction,Lifestyle & Environment,Nature Interaction,,,,,,,,,,,,
116,Personal Development & Life Satisfaction,Lifestyle & Environment,Cleanliness,,,,,,,,,,,,
117,Personal Development & Life Satisfaction,Lifestyle & Environment,Home Comfort,,,,,,,,,,,,
118,Personal Development & Life Satisfaction,Lifestyle & Environment,Fun,,,,,,,,,,,,
119,Personal Development & Life Satisfaction,Lifestyle & Environment,Hobbies,,,,,,,,,,,,
120,Personal Development & Life Satisfaction,Lifestyle & Environment,Entertainment,,,,,,,,,,,,
121,Personal Development & Life Satisfaction,Lifestyle & Environment,New Experiences,,,,,,,,,,,,
122,Personal Development & Life Satisfaction,Lifestyle & Environment,Travel,,,,,,,,,,,,
123,Personal Development & Life Satisfaction,Lifestyle & Environment,Adventure,,,,,,,,,,,,
124,Personal Development & Life Satisfaction,Professional Development,Career Progress,,,,,,,,,,,,
125,Personal Development & Life Satisfaction,Professional Development,Work Satisfaction,,,,,,,,,,,,
126,Personal Development & Life Satisfaction,Professional Development,Work-Life Balance,,,,,,,,,,,,
127,Personal Development & Life Satisfaction,Professional Development,Screen Time,,,,,,,,,,,,
128,Personal Development & Life Satisfaction,Professional Development,Volunteering,,Question,,,Did you volunteer or help someone in your community today?,,,,,,,No
129,Personal Development & Life Satisfaction,Professional Development,Environmental Impact,,Question,,"iPhone, iPad, Mac, Apple Watch","Did you make choices to reduce your environmental impact today (like recycling, reducing energy consumption, etc.)?",,,,,,,No
130,Personal Development & Life Satisfaction,Culture & Learning,Arts and Culture,,,,,,,,,,,,
131,Personal Development & Life Satisfaction,Culture & Learning,Language Learning,,,,,,,,,,,,
132,Personal Development & Life Satisfaction,Culture & Learning,Culinary Exploration,,,,,,,,,,,,
133,Personal Development & Life Satisfaction,Culture & Learning,Self-Reflection,,,,,,,,,,,,
134,Personal Development & Life Satisfaction,Culture & Learning,Goal Setting,,,,,,,,,,,,
135,Personal Development & Life Satisfaction,Culture & Learning,Learning Sources,,,,,,,,,,,,
136,Personal Development & Life Satisfaction,Culture & Learning,Challenges,,,,,,,,,,,,
137,Personal Development & Life Satisfaction,Culture & Learning,New Skills,,,,,,,,,,,,
138,Personal Development & Life Satisfaction,Culture & Learning,Knowledge Application,,,,,,,,,,,,
139,Personal Development & Life Satisfaction,Culture & Learning,Mindfulness Practices,,,,,,,,,,,,
140,Personal Development & Life Satisfaction,Culture & Learning,Self-Care Routine,,,,,,,,,,,,
141,Personal Development & Life Satisfaction,Culture & Learning,Gratitude,,,,,,,,,,,,
142,Personal Development & Life Satisfaction,Culture & Learning,Body Awareness,,,,,,,,,,,,
143,Personal Development & Life Satisfaction,Culture & Learning,Prioritization,,Question,,"iPhone, iPad, Macbook, Apple Watch",Were you able to prioritize tasks effectively today?,Boolean,,,,,,No
144,Personal Development & Life Satisfaction,Culture & Learning,Time Management,,,,,,,,,,,,
145,Personal Development & Life Satisfaction,Culture & Learning,Breaks,,Question,,"iPhone, iPad, Macbook, Apple Watch",Did you take regular breaks to prevent burnout?,Boolean,,,,,,No
146,Personal Development & Life Satisfaction,Culture & Learning,Achievements,,Question,,"iPhone, iPad, Macbook, Apple Watch",What were your biggest achievements today?,String,,,,,Make this a response to a previous Bool question.,No
147,Personal Development & Life Satisfaction,Culture & Learning,Career Goals,,Question,,"iPhone, iPad, Macbook, Apple Watch",Did you make progress towards your career goals today?,Boolean,,,,,"If the answer is yes, ask for a quantitative measure of progress.",No
148,Personal Development & Life Satisfaction,Culture & Learning,Networking,,Question,,"iPhone, iPad, Macbook, Apple Watch",Did you make any new professional connections or strengthen existing ones?,Boolean,,,,,,No
149,Personal Development & Life Satisfaction,Culture & Learning,Skill Improvement,,Question,,"iPhone, iPad, Macbook, Apple Watch",Did you enhance your skills today that will contribute to your professional growth?,Boolean,,,,,,No
150,Personal Development & Life Satisfaction,Culture & Learning,Feedback,,Question,,"iPhone, iPad, Macbook, Apple Watch",Did you receive or provide any constructive feedback today?,Boolean,,,,,,No
151,Personal Development & Life Satisfaction,Culture & Learning,Self-Awareness,,Question,,"iPhone, iPad, Macbook, Apple Watch",Did you gain any new insights about yourself today?,Boolean,,,,,,No
152,Personal Development & Life Satisfaction,Culture & Learning,Values,,Question,,"iPhone, iPad, Macbook, Apple Watch",Did your activities today align with your personal values and beliefs?,Boolean,,,,,,No
153,Personal Development & Life Satisfaction,Culture & Learning,Boundaries,,Question,,"iPhone, iPad, Macbook, Apple Watch","Were you able to set and maintain healthy boundaries today (saying no, asking for what you need)?",Boolean,,,,,,No
154,Activities,Learning,Reading,Books,,,,,,,,,,,
155,Activities,Learning,Reading,Articles,,,,,,,,,,,
156,Activities,Learning,Reading,News,,,,,,,,,,,
157,Activities,Learning,Listening,Podcasts,,,,,,,,,,,
158,Activities,Learning,Listening,Audiobooks,,,,,,,,,,,
159,Activities,Learning,Watching,Documentaries,,,,,,,,,,,
160,Activities,Learning,Watching,Movies,,,,,,,,,,,
161,Activities,Learning,Watching,TV Shows,,,,,,,,,,,
162,Activities,Learning,Watching,YouTube,,,,,,,,,,,
163,Activities,Learning,Practicing,Hands-on,,,,,,,,,,,
164,Activities,Learning,Practicing,Exercises,,,,,,,,,,,
165,Activities,Learning,Practicing,Projects,,,,,,,,,,,
166,Activities,Learning,Practicing,Games,,,,,,,,,,,
167,Activities,Learning,Practicing,Simulations,,,,,,,,,,,
168,Activities,Learning,Practicing,Quizzes,,,,,,,,,,,
169,Activities,Learning,Practicing,Flashcards,,,,,,,,,,,
170,Activities,Learning,Practicing,Practice Tests,,,,,,,,,,,
171,Activities,Working,Creative,Designing,,,,,,,,,,,
172,Activities,Working,Creative,Coding,,,,,,,,,,,
173,Activities,Working,Creative,Writing,,,,,,,,,,,
174,Activities,Working,Administrative,Scheduling,,,,,,,,,,,
175,Activities,Working,Administrative,Planning,,,,,,,,,,,
176,Activities,Working,Review,Code Review,,,,,,,,,,,
177,Activities,Working,Review,Document Review,,,,,,,,,,,
178,Activities,Working,Review,Design Review,,,,,,,,,,,
179,Activities,Relaxing,Entertainment,Watching movies,,,,,,,,,,,
180,Activities,Relaxing,Entertainment,Playing games,,,,,,,,,,,
181,Activities,Relaxing,Entertainment,Arts and Crafts,,,,,,,,,,,
182,Activities,Relaxing,Hobbies,Cooking,,,,,,,,,,,
183,Activities,Relaxing,Socializing,Hanging out with friends,,,,,,,,,,,
184,Activities,Relaxing,Socializing,Family Time,,,,,,,,,,,
185,Activities,Self Care,Physical Health,Personal Hygiene,,,,,,,,,,,
186,Activities,Self Care,Mental Health,Therapy,,,,,,,,,,,
187,Activities,Self Care,Mental Health,Journaling,,,,,,,,,,,
188,Activities,Self Care,Personal Growth,Goal-setting,,,,,,,,,,,
189,Activities,Self Care,Personal Growth,Reflection,,,,,,,,,,,
190,Activities,Commuting,Walking,,,,iPhone,,Apple Health,Yes,,,,,
191,Activities,Commuting,Driving,,Apple Shortcuts,,iPhone,,String,Yes,CarPlay connection,,"Anytime the phone is connected or disconnected to Apple CarPlay, a shortcut will run that logs the current time, location, and whether the drive is starting or ending. This data is then saved to s JSON file in iCloud Drive.",,Yes
192,Activities,Commuting,Public Transport,,,,,,,,,,,,
